,PC1,PC2,PC3,PC4,PC5,cluster,gram
bpertussis,-0.2085416068544577,0.008131309986267902,-0.05395704380951029,-0.008550512204250828,0.018524736714294193,1,Gram-negative
cjejuni,0.28200769588092645,-0.015469045710032962,-0.07153260456628925,0.02095685525494394,-0.021360889428025633,2,Gram-negative
ecoli,-0.06816860226613254,0.06901452771845139,0.0016208447920338476,-0.02291565417051304,-0.01773683288378417,2,Gram-negative
hinfluenzae,0.10584282526958386,-0.03657704364083093,-0.01244462501117068,-0.001109792406632067,0.016403571798459485,2,Gram-negative
kpneumoniae,-0.06379811853877997,0.007517630657062078,0.035571950303678525,0.0010323500047406846,-0.015784086060459553,2,Gram-negative
lmonocytogenesA,-0.016750661070217852,0.005774933637363335,0.015421352522163024,-0.0044891553388890565,-0.013053968750549042,2,Gram-positive
mtuberculosis,-0.151477501920221,-0.05507858989216292,-0.04379990170726152,-0.0018149023734709245,0.011907922522712137,1,Gram-positive
nmeningitidis,0.0812265692518862,0.0965999767530327,-0.0314889022766234,-0.009736096413104162,0.007225313232883036,2,Gram-negative
paeruginosa,-0.13878767019315028,-0.06718452763991994,-0.004604193275517828,-0.007782656811500944,-0.01851450475270285,1,Gram-negative
sagalactiae,0.012265582833696005,0.028379016996647796,0.038395198068684404,0.03511755325720051,0.017413638612198835,2,Gram-positive
saureus,0.12970418778234113,-0.04707686291079026,0.023459018934343222,-0.007062305810426104,0.004508354942771644,2,Gram-positive
sepidermidis,0.14720723998052584,-0.029979325431573906,0.0624024803179624,-0.02215534985194977,0.007502245690896,2,Gram-positive
spneumoniae,0.0762417850273228,0.02503241913625398,0.011845203029613883,-0.002409268406948218,0.01145466278822338,2,Gram-positive
styphimurium,-0.18697172518332314,0.010915580340232076,0.029111222677893706,0.030918935270800068,-0.008490164426917393,1,Gram-negative
